,frame,model,pca_comps,accuracy_score,precision_score,recall_score,auc_roc_score,best_score,best_params
58,pca_processed,Random Forest Classifier,5,0.9737,0.9861,0.9726,0.9741,0.945054945054945,"{'criterion': 'gini', 'n_estimators': 20, 'verbose': 1}"
6,pca_processed,Ada Boost Classifier,2,0.9649,0.9861,0.9595,0.9672,0.9670329670329672,"{'algorithm': 'SAMME', 'n_estimators': 58}"
24,pca_processed,Ada Boost Classifier,3,0.9649,0.9861,0.9595,0.9672,0.9670329670329672,"{'algorithm': 'SAMME', 'n_estimators': 58}"
42,pca_processed,Ada Boost Classifier,4,0.9649,0.9861,0.9595,0.9672,0.9670329670329672,"{'algorithm': 'SAMME', 'n_estimators': 58}"
60,pca_processed,Ada Boost Classifier,5,0.9649,0.9861,0.9595,0.9672,0.9670329670329672,"{'algorithm': 'SAMME', 'n_estimators': 58}"
25,pca_processed,Gradient Boosting Classifier,3,0.9561,0.9722,0.9589,0.9551,0.9538461538461538,"{'criterion': 'mse', 'learning_rate': 0.3, 'n_estimators': 98}"
43,pca_processed,Gradient Boosting Classifier,4,0.9561,0.9722,0.9589,0.9551,0.9538461538461538,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 98}"
61,pca_processed,Gradient Boosting Classifier,5,0.9561,0.9722,0.9589,0.9551,0.9538461538461538,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 97}"
22,pca_processed,Random Forest Classifier,3,0.9561,0.9583,0.9718,0.951,0.9428571428571428,"{'criterion': 'gini', 'n_estimators': 25, 'verbose': 0}"
12,pca_default,Logistic Regression,2,0.9561,0.9048,0.9744,0.9605,0.9846153846153847,"{'C': 29, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}"
8,pca_processed,XGBoost Classifier,2,0.9474,0.9722,0.9459,0.948,0.9670329670329672,"{'eta': 0.3, 'gamma': 1, 'max_depth': 1}"
26,pca_processed,XGBoost Classifier,3,0.9474,0.9722,0.9459,0.948,0.9670329670329672,"{'eta': 0.3, 'gamma': 1, 'max_depth': 1}"
44,pca_processed,XGBoost Classifier,4,0.9474,0.9722,0.9459,0.948,0.9670329670329672,"{'eta': 0.3, 'gamma': 1, 'max_depth': 1}"
62,pca_processed,XGBoost Classifier,5,0.9474,0.9722,0.9459,0.948,0.9670329670329672,"{'eta': 0.3, 'gamma': 1, 'max_depth': 1}"
0,pca_processed,KNN,2,0.9474,0.9583,0.9583,0.9435,0.8857142857142858,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 9, 'weights': 'distance'}"
3,pca_processed,Logistic Regression,2,0.9474,0.9583,0.9583,0.9435,0.9626373626373625,"{'C': 12, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}"
7,pca_processed,Gradient Boosting Classifier,2,0.9474,0.9583,0.9583,0.9435,0.9538461538461538,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 101}"
18,pca_processed,KNN,3,0.9474,0.9583,0.9583,0.9435,0.8857142857142858,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 9, 'weights': 'distance'}"
21,pca_processed,Logistic Regression,3,0.9474,0.9583,0.9583,0.9435,0.9626373626373625,"{'C': 12, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}"
36,pca_processed,KNN,4,0.9474,0.9583,0.9583,0.9435,0.8857142857142858,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 9, 'weights': 'distance'}"
39,pca_processed,Logistic Regression,4,0.9474,0.9583,0.9583,0.9435,0.9626373626373625,"{'C': 12, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}"
54,pca_processed,KNN,5,0.9474,0.9583,0.9583,0.9435,0.8857142857142858,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 9, 'weights': 'distance'}"
57,pca_processed,Logistic Regression,5,0.9474,0.9583,0.9583,0.9435,0.9626373626373625,"{'C': 12, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}"
4,pca_processed,Random Forest Classifier,2,0.9474,0.9306,0.9853,0.9383,0.9494505494505494,"{'criterion': 'entropy', 'n_estimators': 20, 'verbose': 0}"
30,pca_default,Logistic Regression,3,0.9474,0.9048,0.95,0.948,0.9846153846153847,"{'C': 27, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}"
48,pca_default,Logistic Regression,4,0.9474,0.9048,0.95,0.948,0.9846153846153847,"{'C': 28, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}"
66,pca_default,Logistic Regression,5,0.9474,0.9048,0.95,0.948,0.9846153846153847,"{'C': 31, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}"
2,pca_processed,Support Vector Machine,2,0.9386,0.9583,0.9452,0.936,0.9582417582417582,"{'C': 3, 'kernel': 'linear'}"
20,pca_processed,Support Vector Machine,3,0.9386,0.9583,0.9452,0.936,0.9582417582417582,"{'C': 3, 'kernel': 'linear'}"
38,pca_processed,Support Vector Machine,4,0.9386,0.9583,0.9452,0.936,0.9582417582417582,"{'C': 3, 'kernel': 'linear'}"
56,pca_processed,Support Vector Machine,5,0.9386,0.9583,0.9452,0.936,0.9582417582417582,"{'C': 3, 'kernel': 'linear'}"
40,pca_processed,Random Forest Classifier,4,0.9386,0.9444,0.9577,0.9324,0.9428571428571428,"{'criterion': 'entropy', 'n_estimators': 20, 'verbose': 1}"
11,pca_default,Support Vector Machine,2,0.9386,0.881,0.9487,0.941,0.964835164835165,"{'C': 8, 'kernel': 'linear'}"
29,pca_default,Support Vector Machine,3,0.9386,0.881,0.9487,0.941,0.964835164835165,"{'C': 8, 'kernel': 'linear'}"
47,pca_default,Support Vector Machine,4,0.9386,0.881,0.9487,0.941,0.964835164835165,"{'C': 8, 'kernel': 'linear'}"
65,pca_default,Support Vector Machine,5,0.9386,0.881,0.9487,0.941,0.964835164835165,"{'C': 8, 'kernel': 'linear'}"
10,pca_default,Bayes,2,0.9386,0.8571,0.973,0.9475,0.9384615384615385,{}
28,pca_default,Bayes,3,0.9386,0.8571,0.973,0.9475,0.9384615384615385,{}
46,pca_default,Bayes,4,0.9386,0.8571,0.973,0.9475,0.9384615384615385,{}
64,pca_default,Bayes,5,0.9386,0.8571,0.973,0.9475,0.9384615384615385,{}
49,pca_default,Random Forest Classifier,4,0.9298,0.8571,0.9474,0.9342,0.9692307692307691,"{'criterion': 'entropy', 'n_estimators': 15, 'verbose': 1}"
67,pca_default,Random Forest Classifier,5,0.9298,0.8571,0.9474,0.9342,0.9780219780219779,"{'criterion': 'entropy', 'n_estimators': 10, 'verbose': 1}"
15,pca_default,Ada Boost Classifier,2,0.9298,0.8333,0.9722,0.9412,0.9758241758241759,"{'algorithm': 'SAMME', 'n_estimators': 40}"
33,pca_default,Ada Boost Classifier,3,0.9298,0.8333,0.9722,0.9412,0.9758241758241759,"{'algorithm': 'SAMME', 'n_estimators': 40}"
51,pca_default,Ada Boost Classifier,4,0.9298,0.8333,0.9722,0.9412,0.9758241758241759,"{'algorithm': 'SAMME', 'n_estimators': 40}"
69,pca_default,Ada Boost Classifier,5,0.9298,0.8333,0.9722,0.9412,0.9758241758241759,"{'algorithm': 'SAMME', 'n_estimators': 40}"
17,pca_default,XGBoost Classifier,2,0.9211,0.881,0.9024,0.917,0.9802197802197803,"{'eta': 1, 'gamma': 0, 'max_depth': 2}"
35,pca_default,XGBoost Classifier,3,0.9211,0.881,0.9024,0.917,0.9802197802197803,"{'eta': 1, 'gamma': 0, 'max_depth': 2}"
53,pca_default,XGBoost Classifier,4,0.9211,0.881,0.9024,0.917,0.9802197802197803,"{'eta': 1, 'gamma': 0, 'max_depth': 2}"
71,pca_default,XGBoost Classifier,5,0.9211,0.881,0.9024,0.917,0.9802197802197803,"{'eta': 1, 'gamma': 0, 'max_depth': 2}"
9,pca_default,KNN,2,0.9123,0.8571,0.9,0.9095,0.945054945054945,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'weights': 'uniform'}"
13,pca_default,Random Forest Classifier,2,0.9123,0.8571,0.9,0.9095,0.9714285714285713,"{'criterion': 'entropy', 'n_estimators': 15, 'verbose': 0}"
27,pca_default,KNN,3,0.9123,0.8571,0.9,0.9095,0.945054945054945,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'weights': 'uniform'}"
45,pca_default,KNN,4,0.9123,0.8571,0.9,0.9095,0.945054945054945,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'weights': 'uniform'}"
63,pca_default,KNN,5,0.9123,0.8571,0.9,0.9095,0.945054945054945,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'weights': 'uniform'}"
16,pca_default,Gradient Boosting Classifier,2,0.9123,0.8333,0.9211,0.9145,0.9758241758241759,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 101}"
34,pca_default,Gradient Boosting Classifier,3,0.9123,0.8333,0.9211,0.9145,0.9780219780219781,"{'criterion': 'mse', 'learning_rate': 0.3, 'n_estimators': 100}"
52,pca_default,Gradient Boosting Classifier,4,0.9123,0.8333,0.9211,0.9145,0.9736263736263735,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 97}"
70,pca_default,Gradient Boosting Classifier,5,0.9123,0.8333,0.9211,0.9145,0.9758241758241759,"{'criterion': 'friedman_mse', 'learning_rate': 0.3, 'n_estimators': 99}"
5,pca_processed,Decision Tree Classifier,2,0.9035,0.9028,0.942,0.8932,0.9098901098901099,"{'criterion': 'entropy', 'splitter': 'best'}"
23,pca_processed,Decision Tree Classifier,3,0.9035,0.9028,0.942,0.8932,0.9076923076923077,"{'criterion': 'entropy', 'splitter': 'best'}"
59,pca_processed,Decision Tree Classifier,5,0.9035,0.9028,0.942,0.8932,0.9098901098901099,"{'criterion': 'entropy', 'splitter': 'best'}"
31,pca_default,Random Forest Classifier,3,0.9035,0.8333,0.8974,0.9021,0.9780219780219781,"{'criterion': 'entropy', 'n_estimators': 15, 'verbose': 0}"
32,pca_default,Decision Tree Classifier,3,0.9035,0.7857,0.9429,0.9145,0.9538461538461538,"{'criterion': 'gini', 'splitter': 'best'}"
1,pca_processed,Bayes,2,0.8947,0.8889,0.9412,0.8836,0.9010989010989011,{}
19,pca_processed,Bayes,3,0.8947,0.8889,0.9412,0.8836,0.9010989010989011,{}
37,pca_processed,Bayes,4,0.8947,0.8889,0.9412,0.8836,0.9010989010989011,{}
55,pca_processed,Bayes,5,0.8947,0.8889,0.9412,0.8836,0.9010989010989011,{}
50,pca_default,Decision Tree Classifier,4,0.8947,0.8333,0.875,0.8902,0.9582417582417582,"{'criterion': 'gini', 'splitter': 'random'}"
41,pca_processed,Decision Tree Classifier,4,0.886,0.875,0.9403,0.8744,0.90989010989011,"{'criterion': 'gini', 'splitter': 'random'}"
14,pca_default,Decision Tree Classifier,2,0.886,0.7619,0.9143,0.8939,0.956043956043956,"{'criterion': 'entropy', 'splitter': 'best'}"
68,pca_default,Decision Tree Classifier,5,0.886,0.7619,0.9143,0.8939,0.9516483516483516,"{'criterion': 'entropy', 'splitter': 'best'}"
